slewrate_pos,dc_gain,ugf,phase_margin,cmrr
13875907.79063254,49.34268170129919,7502755.770712575,99.68411393461929,2263.8826435784545
37522467.48124217,16.376294500064837,10999293.761534316,112.82714544196,9897.064682637945
25738688.057527766,39.02586580161982,28794235.980397068,57.24958245420645,3198.429527041693
5178269.967196746,28.21273790093931,3972669.8917590687,35.883242343631935,2699.7982964570165
2698625.5963284443,1.5217186400168181,568700.8371034362,75.24336090295117,14232.45683439573
13068663.10465812,35.37430640109152,5149788.660366567,87.47142359653165,3439.1664124983167
10367303.829390118,61.211290103004835,6709100.676635287,86.19746779713229,2322.0821441703292
14830119.030619182,2914.489717500124,21014748.454408526,6.430404396579121,3434.4534997566852
41256874.49866313,1.8558506000028645,791601.3919849455,137.21338833832718,5606.468696413486
12808867.875304176,24.6690132008874,2793735.9689863576,79.14822121561676,4234.023146924782
27867395.296318714,22.328536400547325,25994040.207855806,53.73941067288911,1888.9629346784898
10209835.959141681,6.51935845010072,1193215.057341192,91.07014942680783,2099.240527629128
1909364.4043879348,0.4576005180085395,100000000000.0,-177.42266264898495,100.63687660170173
17751418.52595652,14.569783100086786,4123745.6952143754,82.28481045960359,2972.0521172008466
15116554.36857178,3.776413020001417,4610859.542877677,83.66617016493838,5240.9800470218215
39228199.43356148,22.436945900913464,28821011.005633105,87.63201866071337,3601.3922732213223
6445428.788463391,1793.5753777575228,6702926.727450094,-0.1617059436450461,2938.832981352284
6437897.08623143,38.06387670175775,3823722.965455073,64.01536404288088,761.7395448738415
6069676.006809121,0.12933560100132757,100000000000.0,-170.06156938121285,2675.0855505605896
6015748.713595387,79.15946140917713,5347050.870591746,86.13682886592908,1647.034330064051
16516599.393765392,8.934564410085216,2128781.018007678,108.55243055172434,3820.249625600262
8476208.10224259,1.4484732500016577,1408819.3470321842,85.88781737562564,978.5154216222021
16569898.020655785,4.866199130005802,3157029.4056290495,97.06999554041326,4010.6384689899232
15876478.215007765,24.160909200561715,3860504.7150357263,99.03903837903182,1349.6921609860756
18929432.192326978,1.9129589400056217,692183.0867959533,119.6267189712534,2428.8626322513155
17170199.074109647,14.385739601206097,1209003.6535043584,113.32127592674988,8169.632741057126
9037505.377777478,814.0675257611837,13714379.108579779,90.73769112560734,3726.4049059999124
5052597.653364143,15.50595430018954,3534427.88718494,30.19652212282793,20629.037129476448
21158217.485568434,42.11801880003532,20099323.506578717,17.941905736627888,1101.5948665665464
12087606.397035765,4.276745580005491,3826798.2769385013,12.276707385532973,801.8981119216058
8545752.34226446,63.783791101331325,9060792.57871441,64.8110377713302,8298.713744167751
28821286.35604359,24.029941401288166,21449062.836949185,73.754987601521,6884.512813048709
28159429.443690658,3.7828051300518557,687732.5814642753,114.18509241596165,48693.82999193855
18221992.516727824,0.6748008050051317,100000000000.0,-148.72702211752932,2599.0062349962254
17003015.804645807,18.078936200097246,5716970.1653812835,90.352149789101,1738.2085815673652
7605260.1556774285,7.364223930056259,1969653.2656713712,75.22529170137952,930.0113457549681
17908041.38605157,89.20053870014455,15589449.215249348,-5.025184872505065,3565.1766096459055
